intake_duration,count
0.0,9585
1.0,3279
6.0,1829
2.0,1351
3.0,1260
7.0,1144
4.0,941
5.0,859
8.0,768
10.0,714
9.0,611
11.0,560
13.0,482
14.0,477
12.0,446
15.0,411
16.0,364
17.0,313
21.0,280
20.0,272
18.0,234
19.0,229
23.0,206
22.0,202
28.0,197
24.0,194
25.0,189
27.0,166
34.0,165
26.0,164
29.0,161
30.0,155
32.0,151
36.0,147
31.0,146
35.0,131
33.0,126
42.0,125
38.0,113
41.0,111
40.0,102
37.0,94
45.0,89
48.0,85
50.0,81
43.0,80
39.0,79
47.0,78
54.0,77
49.0,76
46.0,72
44.0,70
56.0,69
52.0,66
71.0,66
57.0,63
51.0,61
63.0,60
64.0,60
55.0,58
62.0,58
70.0,57
59.0,52
83.0,50
61.0,46
67.0,44
53.0,44
60.0,43
72.0,43
65.0,43
76.0,41
58.0,41
68.0,39
66.0,37
69.0,37
82.0,37
75.0,35
77.0,35
80.0,33
90.0,32
92.0,31
78.0,31
73.0,31
84.0,31
98.0,30
86.0,29
79.0,29
102.0,28
85.0,28
104.0,27
95.0,27
74.0,26
96.0,25
89.0,25
91.0,23
87.0,23
99.0,22
97.0,22
105.0,21
128.0,21
120.0,20
103.0,20
119.0,20
111.0,19
118.0,19
121.0,19
109.0,19
94.0,19
101.0,19
81.0,19
93.0,18
112.0,18
110.0,17
122.0,17
126.0,17
108.0,17
114.0,16
161.0,15
139.0,15
106.0,14
88.0,14
116.0,14
100.0,14
117.0,13
113.0,13
115.0,12
131.0,12
140.0,12
124.0,12
134.0,11
125.0,11
123.0,11
141.0,11
142.0,11
138.0,11
216.0,11
132.0,10
107.0,10
127.0,10
151.0,9
144.0,9
133.0,9
136.0,9
241.0,9
147.0,9
157.0,8
137.0,8
154.0,8
149.0,8
163.0,8
129.0,8
182.0,8
148.0,7
143.0,7
159.0,7
210.0,7
175.0,7
155.0,7
146.0,7
200.0,7
153.0,7
184.0,7
145.0,7
171.0,6
196.0,6
162.0,6
170.0,6
174.0,6
166.0,6
209.0,6
228.0,5
189.0,5
168.0,5
167.0,5
176.0,5
178.0,5
156.0,5
283.0,5
164.0,5
213.0,5
152.0,5
165.0,5
272.0,5
195.0,5
212.0,5
275.0,5
199.0,5
158.0,5
430.0,5
366.0,5
169.0,4
539.0,4
268.0,4
271.0,4
307.0,4
223.0,4
280.0,4
197.0,4
173.0,4
226.0,4
244.0,4
229.0,4
160.0,4
192.0,4
254.0,4
990.0,4
186.0,4
289.0,3
203.0,3
287.0,3
457.0,3
246.0,3
181.0,3
219.0,3
255.0,3
438.0,3
222.0,3
215.0,3
276.0,3
240.0,3
238.0,3
452.0,3
201.0,3
194.0,3
328.0,3
183.0,3
279.0,3
214.0,3
188.0,3
130.0,3
422.0,3
225.0,3
217.0,3
270.0,3
264.0,3
261.0,3
308.0,3
191.0,2
252.0,2
330.0,2
231.0,2
179.0,2
406.0,2
305.0,2
298.0,2
135.0,2
349.0,2
190.0,2
1082.0,2
437.0,2
269.0,2
459.0,2
221.0,2
315.0,2
239.0,2
310.0,2
177.0,2
248.0,2
150.0,2
340.0,2
185.0,2
302.0,2
224.0,2
202.0,2
251.0,2
954.0,2
257.0,2
249.0,2
232.0,2
377.0,2
204.0,2
245.0,2
242.0,2
317.0,2
236.0,2
615.0,2
233.0,2
277.0,2
237.0,2
206.0,2
350.0,2
325.0,2
1410.0,1
334.0,1
327.0,1
284.0,1
296.0,1
336.0,1
306.0,1
314.0,1
462.0,1
472.0,1
172.0,1
265.0,1
278.0,1
329.0,1
323.0,1
386.0,1
500.0,1
293.0,1
318.0,1
420.0,1
456.0,1
607.0,1
288.0,1
333.0,1
313.0,1
804.0,1
324.0,1
285.0,1
193.0,1
208.0,1
424.0,1
390.0,1
660.0,1
446.0,1
484.0,1
442.0,1
716.0,1
432.0,1
855.0,1
640.0,1
1010.0,1
362.0,1
266.0,1
180.0,1
1123.0,1
258.0,1
632.0,1
409.0,1
1092.0,1
301.0,1
399.0,1
372.0,1
316.0,1
321.0,1
388.0,1
311.0,1
220.0,1
644.0,1
559.0,1
571.0,1
331.0,1
374.0,1
345.0,1
247.0,1
274.0,1
425.0,1
294.0,1
365.0,1
205.0,1
211.0,1
407.0,1
337.0,1
512.0,1
351.0,1
426.0,1
234.0,1
533.0,1
496.0,1
360.0,1
477.0,1
250.0,1
434.0,1
230.0,1
408.0,1
353.0,1
383.0,1
448.0,1
413.0,1
387.0,1
504.0,1
666.0,1
511.0,1
243.0,1
572.0,1
256.0,1
291.0,1
379.0,1
300.0,1
392.0,1
564.0,1
617.0,1
524.0,1
1074.0,1
